"id","blsid","title","source","is_primary","is_delta","is_adjusted","delta_id"
1678,"CES0800000001","Private Service-providing Employment","CESN",t,f,f,1751
1679,"CES9000000001","Government Employment","CESN",t,f,f,1752
1680,"CES6056132001","Temporary Help Services Employment","CESN",t,f,f,1753
1682,"CES3000000003","Manufacturing Average Hourly Earnings of All Employees","CESN",t,f,f,1755
1683,"CES3000000002","Manufacturing Average Weekly Hours of All Employees","CESN",t,f,f,1756
1684,"CES3000000001","Manufacturing Employment","CESN",t,f,f,1757
469,"SMS56000009000000001","Wyoming, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1758
667,"SMS16000009000000001","Idaho, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1759
1098,"SMS38000002000000001","North Dakota, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1760
58,"LASST390000000000005","Ohio, seasonally adjusted - employment","LAUS",t,f,t,1761
3,"LAUST280000000000004","Mississippi, not seasonally adjusted - unemployment","LAUS",t,f,f,1762
410,"SMS28000005500000001","Mississippi, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1764
411,"SMS28000004000000001","Mississippi, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1765
412,"SMS28000006000000001","Mississippi, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1766
414,"SMS28000001000000001","Mississippi, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1768
415,"SMS28000005000000001","Mississippi, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1769
416,"SMU28000005000000001","Mississippi, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1770
418,"SMU28000009000000001","Mississippi, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1772
419,"SMU28000000000000001","Mississippi, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1773
420,"SMU28000005500000001","Mississippi, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1774
421,"SMS28000000000000001","Mississippi, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1775
422,"SMS28000002000000001","Mississippi, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1776
423,"SMS28000009000000001","Mississippi, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1777
424,"SMU28000001000000001","Mississippi, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1778
425,"SMU28000007000000001","Mississippi, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1779
426,"SMU28000006500000001","Mississippi, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1780
427,"SMS28000007000000001","Mississippi, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1781
428,"SMU28000008000000001","Mississippi, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1782
429,"SMS28000006500000001","Mississippi, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1783
430,"SMS28000008000000001","Mississippi, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1784
431,"SMU28000002000000001","Mississippi, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1785
432,"SMS28000003000000001","Mississippi, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1786
433,"SMU40000002000000001","Oklahoma, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1787
435,"SMS40000001000000001","Oklahoma, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1789
436,"SMS40000002000000001","Oklahoma, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1790
437,"SMU40000003000000001","Oklahoma, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1791
438,"SMS40000007000000001","Oklahoma, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1792
439,"SMS40000006000000001","Oklahoma, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1793
440,"SMS40000000000000001","Oklahoma, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1794
441,"SMS40000005500000001","Oklahoma, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1795
442,"SMS40000006500000001","Oklahoma, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1796
443,"SMU40000005500000001","Oklahoma, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1797
444,"SMU40000009000000001","Oklahoma, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1798
445,"SMU40000008000000001","Oklahoma, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1799
446,"SMU40000007000000001","Oklahoma, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1800
447,"SMU40000005000000001","Oklahoma, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1801
449,"SMU40000001000000001","Oklahoma, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1803
450,"SMU40000006500000001","Oklahoma, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1804
451,"SMU40000000000000001","Oklahoma, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1805
452,"SMS40000009000000001","Oklahoma, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1806
453,"SMU40000006000000001","Oklahoma, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1807
454,"SMS56000002000000001","Wyoming, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1808
455,"SMU56000006000000001","Wyoming, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1809
456,"SMS56000006500000001","Wyoming, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1810
457,"SMU56000009000000001","Wyoming, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1811
458,"SMS56000007000000001","Wyoming, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1812
459,"SMU56000002000000001","Wyoming, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1813
460,"SMS56000003000000001","Wyoming, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1814
461,"SMS56000001000000001","Wyoming, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1815
462,"SMU56000005000000001","Wyoming, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1816
463,"SMU56000007000000001","Wyoming, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1817
465,"SMS56000005500000001","Wyoming, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1819
466,"SMU56000005500000001","Wyoming, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1820
467,"SMU56000004000000001","Wyoming, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1821
468,"SMS56000000000000001","Wyoming, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1822
470,"SMU56000000000000001","Wyoming, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1823
471,"SMS56000005000000001","Wyoming, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1824
472,"SMU56000006500000001","Wyoming, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1825
473,"SMU56000001000000001","Wyoming, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1826
474,"SMS56000008000000001","Wyoming, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1827
476,"SMU56000008000000001","Wyoming, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1829
478,"SMU27000009000000001","Minnesota, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1831
479,"SMS27000000000000001","Minnesota, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1832
480,"SMU27000002000000001","Minnesota, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1833
481,"SMS27000005500000001","Minnesota, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1834
482,"SMU27000006500000001","Minnesota, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1835
483,"SMS27000004000000001","Minnesota, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1836
484,"SMU27000007000000001","Minnesota, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1837
485,"SMS27000003000000001","Minnesota, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1838
486,"SMS27000008000000001","Minnesota, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1839
487,"SMS27000001000000001","Minnesota, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1840
488,"SMU27000006000000001","Minnesota, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1841
489,"SMU27000000000000001","Minnesota, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1842
490,"SMS27000002000000001","Minnesota, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1843
491,"SMS27000006000000001","Minnesota, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1844
492,"SMS27000009000000001","Minnesota, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1845
493,"SMU27000005000000001","Minnesota, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1846
495,"SMU27000003000000001","Minnesota, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1848
496,"SMU27000008000000001","Minnesota, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1849
497,"SMS27000007000000001","Minnesota, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1850
498,"SMS27000006500000001","Minnesota, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1851
499,"SMS27000005000000001","Minnesota, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1852
500,"SMU27000005500000001","Minnesota, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1853
502,"SMU17000000000000001","Illinois, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1855
503,"SMU17000002000000001","Illinois, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1856
504,"SMS17000005000000001","Illinois, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1857
505,"SMU17000008000000001","Illinois, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1858
506,"SMS17000009000000001","Illinois, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1859
507,"SMS17000000000000001","Illinois, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1860
508,"SMU17000001000000001","Illinois, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1861
509,"SMU17000005000000001","Illinois, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1862
510,"SMS17000005500000001","Illinois, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1863
511,"SMS17000001000000001","Illinois, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1864
512,"SMU17000009000000001","Illinois, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1865
513,"SMS17000007000000001","Illinois, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1866
514,"SMS17000006500000001","Illinois, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1867
515,"SMS17000008000000001","Illinois, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1868
516,"SMU17000004000000001","Illinois, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1869
517,"SMU17000005500000001","Illinois, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1870
518,"SMU17000006000000001","Illinois, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1871
519,"SMS17000002000000001","Illinois, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1872
520,"SMS17000006000000001","Illinois, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1873
521,"SMU17000003000000001","Illinois, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1874
523,"SMU17000006500000001","Illinois, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1876
524,"SMU17000007000000001","Illinois, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1877
525,"SMS17000003000000001","Illinois, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1878
526,"SMU05000008000000001","Arkansas, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1879
527,"SMS05000002000000001","Arkansas, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1880
528,"SMU05000005000000001","Arkansas, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1881
529,"SMS05000006000000001","Arkansas, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1882
530,"SMU05000007000000001","Arkansas, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1883
531,"SMU05000003000000001","Arkansas, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1884
532,"SMS05000005500000001","Arkansas, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1885
533,"SMS05000004000000001","Arkansas, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1886
534,"SMS05000008000000001","Arkansas, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1887
535,"SMU05000009000000001","Arkansas, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1888
537,"SMU05000004000000001","Arkansas, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1890
538,"SMU05000000000000001","Arkansas, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1891
539,"SMS05000007000000001","Arkansas, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1892
540,"SMS05000006500000001","Arkansas, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1893
541,"SMU05000002000000001","Arkansas, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1894
542,"SMS05000000000000001","Arkansas, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1895
543,"SMS05000009000000001","Arkansas, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1896
544,"SMU05000006500000001","Arkansas, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1897
545,"SMU05000001000000001","Arkansas, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1898
547,"SMS05000003000000001","Arkansas, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1900
548,"SMS05000001000000001","Arkansas, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1901
549,"SMU35000008000000001","New Mexico, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1902
550,"SMU35000005000000001","New Mexico, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1903
551,"SMU35000001000000001","New Mexico, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1904
552,"SMS35000006000000001","New Mexico, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1905
553,"SMS35000004000000001","New Mexico, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1906
554,"SMS35000000000000001","New Mexico, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1907
555,"SMU35000000000000001","New Mexico, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1908
556,"SMU35000002000000001","New Mexico, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1909
557,"SMS35000006500000001","New Mexico, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1910
558,"SMS35000007000000001","New Mexico, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1911
559,"SMS35000008000000001","New Mexico, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1912
560,"SMS35000003000000001","New Mexico, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1913
562,"SMS35000001000000001","New Mexico, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1915
563,"SMU35000006500000001","New Mexico, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1916
564,"SMS35000005500000001","New Mexico, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1917
565,"SMU35000003000000001","New Mexico, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1918
566,"SMS35000002000000001","New Mexico, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1919
567,"SMS35000009000000001","New Mexico, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1920
568,"SMU35000005500000001","New Mexico, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1921
569,"SMU35000009000000001","New Mexico, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1922
570,"SMU35000004000000001","New Mexico, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1923
571,"SMU35000006000000001","New Mexico, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1924
572,"SMU39000003000000001","Ohio, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1925
573,"SMS39000005000000001","Ohio, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1926
575,"SMU39000007000000001","Ohio, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1928
576,"SMS39000009000000001","Ohio, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1929
577,"SMS39000000000000001","Ohio, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1930
578,"SMS39000005500000001","Ohio, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1931
579,"SMU39000000000000001","Ohio, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1932
580,"SMU39000002000000001","Ohio, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1933
581,"SMS39000001000000001","Ohio, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1934
582,"SMS39000007000000001","Ohio, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1935
583,"SMS39000006500000001","Ohio, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1936
584,"SMS39000008000000001","Ohio, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1937
585,"SMU39000001000000001","Ohio, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1938
586,"SMU39000005000000001","Ohio, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1939
587,"SMU39000008000000001","Ohio, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1940
588,"SMS39000002000000001","Ohio, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1941
589,"SMS39000006000000001","Ohio, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1942
591,"SMU39000004000000001","Ohio, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1944
592,"SMU39000005500000001","Ohio, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1945
593,"SMU39000009000000001","Ohio, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1946
594,"SMU39000006000000001","Ohio, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1947
595,"SMS39000003000000001","Ohio, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1948
596,"SMS18000007000000001","Indiana, Leisure and Hospitality, Seasonally adjusted - labor force","CESSM",t,f,t,1949
598,"SMU18000003000000001","Indiana, Manufacturing, Not seasonally adjusted - labor force","CESSM",t,f,f,1951
599,"SMS18000006000000001","Indiana, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1952
600,"SMU18000008000000001","Indiana, Other Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1953
601,"SMS18000000000000001","Indiana, Total Nonfarm, Seasonally adjusted - labor force","CESSM",t,f,t,1954
602,"SMU18000004000000001","Indiana, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1955
603,"SMU18000005500000001","Indiana, Financial Activities, Not seasonally adjusted - labor force","CESSM",t,f,f,1956
604,"SMS18000005000000001","Indiana, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1957
605,"SMS18000001000000001","Indiana, Mining and Logging, Seasonally adjusted - labor force","CESSM",t,f,t,1958
606,"SMS18000003000000001","Indiana, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1959
607,"SMS18000008000000001","Indiana, Other Services, Seasonally adjusted - labor force","CESSM",t,f,t,1960
609,"SMU18000007000000001","Indiana, Leisure and Hospitality, Not seasonally adjusted - labor force","CESSM",t,f,f,1962
610,"SMS18000005500000001","Indiana, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1963
611,"SMU18000005000000001","Indiana, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1964
612,"SMS18000004000000001","Indiana, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1965
613,"SMU18000001000000001","Indiana, Mining and Logging, Not seasonally adjusted - labor force","CESSM",t,f,f,1966
614,"SMS18000009000000001","Indiana, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1967
615,"SMS18000002000000001","Indiana, Construction, Seasonally adjusted - labor force","CESSM",t,f,t,1968
616,"SMU18000006000000001","Indiana, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1969
617,"SMU18000009000000001","Indiana, Government, Not seasonally adjusted - labor force","CESSM",t,f,f,1970
618,"SMU18000002000000001","Indiana, Construction, Not seasonally adjusted - labor force","CESSM",t,f,f,1971
619,"SMS18000006500000001","Indiana, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1972
621,"SMS24000005000000001","Maryland, Information, Seasonally adjusted - labor force","CESSM",t,f,t,1974
622,"SMU24000005000000001","Maryland, Information, Not seasonally adjusted - labor force","CESSM",t,f,f,1975
623,"SMS24000009000000001","Maryland, Government, Seasonally adjusted - labor force","CESSM",t,f,t,1976
624,"SMS24000004000000001","Maryland, Trade, Transportation, and Utilities, Seasonally adjusted - labor force","CESSM",t,f,t,1977
625,"SMS24000005500000001","Maryland, Financial Activities, Seasonally adjusted - labor force","CESSM",t,f,t,1978
626,"SMS24000006000000001","Maryland, Professional and Business Services, Seasonally adjusted - labor force","CESSM",t,f,t,1979
627,"SMU24000006000000001","Maryland, Professional and Business Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1980
628,"SMU24000004000000001","Maryland, Trade, Transportation, and Utilities, Not seasonally adjusted - labor force","CESSM",t,f,f,1981
629,"SMU24000000000000001","Maryland, Total Nonfarm, Not seasonally adjusted - labor force","CESSM",t,f,f,1982
630,"SMS24000003000000001","Maryland, Manufacturing, Seasonally adjusted - labor force","CESSM",t,f,t,1983
631,"SMS24000006500000001","Maryland, Education and Health Services, Seasonally adjusted - labor force","CESSM",t,f,t,1984
632,"SMU24000006500000001","Maryland, Education and Health Services, Not seasonally adjusted - labor force","CESSM",t,f,f,1985
